  no.      freq.      period     coherency     phase     Gain relative to 2
  264    0.05046    19.81818     0.2011336   176.639     0.0436181
  265    0.05065    19.74340     0.1785874   177.702     0.0414737
  266    0.05084    19.66917     0.1671677   179.080     0.0409511
  267    0.05103    19.59550     0.1665419   179.524     0.0402977
  268    0.05122    19.52239     0.1718355   179.916     0.0394879
  269    0.05141    19.44981     0.1800819   180.973     0.0387613
  270    0.05161    19.37778     0.1826011   182.179     0.0384234
  271    0.05180    19.30627     0.1810129   182.087     0.0392730
  272    0.05199    19.23529     0.1789600   180.859     0.0399519
  273    0.05218    19.16483     0.1788944   180.401     0.0398189
  274    0.05237    19.09489     0.1725954   180.524     0.0393434
  275    0.05256    19.02546     0.1586783   180.417     0.0397134
  276    0.05275    18.95652     0.1497088   181.243     0.0408501
  277    0.05294    18.88809     0.1549210   182.566     0.0416567
  278    0.05313    18.82014     0.1680954   182.824     0.0407261
  279    0.05333    18.75269     0.1829133   182.270     0.0398696
  280    0.05352    18.68571     0.1914860   181.287     0.0401322
  281    0.05371    18.61922     0.1924801   179.509     0.0399138
  282    0.05390    18.55319     0.1854327   178.202     0.0391675
  283    0.05409    18.48763     0.1772202   178.471     0.0388642
  284    0.05428    18.42253     0.1700167   179.264     0.0387867
  285    0.05447    18.35789     0.1593747   180.008     0.0373793
  286    0.05466    18.29371     0.1500307   181.695     0.0353910
  287    0.05485    18.22997     0.1510649   183.568     0.0356943
  288    0.05505    18.16667     0.1525065   184.028     0.0374372
  289    0.05524    18.10381     0.1489050   183.824     0.0372307
  290    0.05543    18.04138     0.1470514   183.799     0.0360381
  291    0.05562    17.97938     0.1518303   183.732     0.0357578
  292    0.05581    17.91781     0.1623924   182.986     0.0367719
  293    0.05600    17.85666     0.1759207   181.006     0.0378680
  294    0.05619    17.79592     0.1854943   178.318     0.0385734
  295    0.05638    17.73559     0.1904004   176.553     0.0382955
  296    0.05657    17.67568     0.1881028   176.251     0.0365997
  297    0.05677    17.61616     0.1747097   177.072     0.0347639
  298    0.05696    17.55705     0.1555955   179.193     0.0339203
  299    0.05715    17.49833     0.1571610   180.853     0.0354887
  300    0.05734    17.44000     0.1645044   180.151     0.0366542
  301    0.05753    17.38206     0.1600859   178.257     0.0359763
  302    0.05772    17.32450     0.1572088   176.598     0.0358815
  303    0.05791    17.26733     0.1587886   175.733     0.0358002
  304    0.05810    17.21053     0.1513677   176.257     0.0337593
  305    0.05830    17.15410     0.1420652   178.755     0.0328552
  306    0.05849    17.09804     0.1465755   181.118     0.0352023
  307    0.05868    17.04235     0.1630171   181.350     0.0377083
  308    0.05887    16.98701     0.1824829   180.344     0.0390895
  309    0.05906    16.93204     0.1876161   179.355     0.0403073
  310    0.05925    16.87742     0.1730272   179.660     0.0405029
  311    0.05944    16.82315     0.1572900   181.783     0.0391670
  312    0.05963    16.76923     0.1555430   183.569     0.0377435
  313    0.05982    16.71565     0.1651111   182.092     0.0368369
  314    0.06002    16.66242     0.1740999   178.554     0.0352919
  315    0.06021    16.60952     0.1716407   176.201     0.0335654
  316    0.06040    16.55696     0.1645855   177.668     0.0340217
  317    0.06059    16.50473     0.1686241   180.086     0.0365746
  318    0.06078    16.45283     0.1678816   179.731     0.0371137
  319    0.06097    16.40125     0.1525395   178.811     0.0346661
  320    0.06116    16.35000     0.1367483   180.931     0.0327547
  321    0.06135    16.29906     0.1365128   182.865     0.0338704
  322    0.06154    16.24845     0.1424458   181.810     0.0354193
  323    0.06174    16.19814     0.1475737   180.789     0.0343692
  324    0.06193    16.14815     0.1580528   180.657     0.0333350
  325    0.06212    16.09846     0.1748879   179.519     0.0345489
  326    0.06231    16.04908     0.1889463   177.637     0.0357887
  327    0.06250    16.00000     0.1929436   177.141     0.0366377
  328    0.06269    15.95122     0.1860473   178.177     0.0371721
  329    0.06288    15.90274     0.1798283   179.509     0.0369938
  330    0.06307    15.85455     0.1696516   180.331     0.0360299
  331    0.06326    15.80665     0.1577899   180.028     0.0351471
  332    0.06346    15.75904     0.1475134   178.084     0.0340536
  333    0.06365    15.71171     0.1335641   176.575     0.0312394
  334    0.06384    15.66467     0.1200295   177.120     0.0285978
  335    0.06403    15.61791     0.1184808   179.142     0.0284842
  336    0.06422    15.57143     0.1285805   182.271     0.0300512
  337    0.06441    15.52522     0.1467240   184.261     0.0324298
